question_id,family,domain,variety,question_text,option_0,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,gold_answer,language_variant_of,conversion_list_version,source_citation,source_snapshot_date,licence
F-KNOW-16-UK,F,knowledge,UK,What prevents the stomach from being digested by its own secretions?,The stomach has a high permeability to hydrogen ions,The presence of beneficial bacteria that neutralise stomach acid,The stomach lining is replaced every month,The stomach lining secretes digestive enzymes only when food is present,The production of bile in the stomach neutralises the digestive acids,A thick layer of muscle tissue that is resistant to digestive enzymes and acids,The stomach is protected by a layer of fat,"The mucus layer, the permeability of the membranes and the continual replacement of the cells comprising the lining all help protect the stomach from being digested by its own secretions.",The stomach secretes a special hormone that prevents digestion of its own tissues,The stomach contents are too acidic for the enzymes to function properly,H,A-KNOW-34-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-34-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-16-AU,F,knowledge,AU,What prevents the stomach from being digested by its own secretions?,The stomach has a high permeability to hydrogen ions,The presence of beneficial bacteria that neutralise stomach acid,The stomach lining is replaced every month,The stomach lining secretes digestive enzymes only when food is present,The production of bile in the stomach neutralises the digestive acids,A thick layer of muscle tissue that is resistant to digestive enzymes and acids,The stomach is protected by a layer of fat,"The mucus layer, the permeability of the membranes and the continual replacement of the cells comprising the lining all help protect the stomach from being digested by its own secretions.",The stomach secretes a special hormone that prevents digestion of its own tissues,The stomach contents are too acidic for the enzymes to function properly,H,A-KNOW-34-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-34-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-17-UK,F,knowledge,UK,"Using conditioning, how can one determine the sensitivity of a dog's hearing to sounds of different frequencies?",By checking the dog's ear structure,By observing the dog's natural behaviour,By using operant conditioning and observing the dog's response to different sound frequencies,By training the dog to bark at certain frequencies,By analyzing the dog's brain waves while exposed to different frequencies,By using a series of whistles with varying frequencies and observing the point of inaudibility,By measuring the dog's heart rate response to different sound frequencies,By using classical conditioning and pairing sounds with a visual stimulus,By using a hearing test device,,C,A-KNOW-35-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-35-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-17-AU,F,knowledge,AU,"Using conditioning, how can one determine the sensitivity of a dog's hearing to sounds of different frequencies?",By checking the dog's ear structure,By observing the dog's natural behaviour,By using operant conditioning and observing the dog's response to different sound frequencies,By training the dog to bark at certain frequencies,By analyzing the dog's brain waves while exposed to different frequencies,By using a series of whistles with varying frequencies and observing the point of inaudibility,By measuring the dog's heart rate response to different sound frequencies,By using classical conditioning and pairing sounds with a visual stimulus,By using a hearing test device,,C,A-KNOW-35-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-35-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-18-UK,F,knowledge,UK,How are whales adapted for their life in cold waters?,They produce heat through rapid movement and have a layer of reflective scales,They utilise a bio-antifreeze in their blood to prevent ice crystal formation,They have fins for swimming and excrete a special anti-freezing substance,They have gills and a streamlined body,They have a temperature regulating system and a tremendous amount of subcutaneous fat serving an insulating function.,They have specialised lungs that warm incoming cold water,They migrate to warmer waters during colder seasons to maintain body temperature,They have fur and hibernate in winter,,,E,A-KNOW-36-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-36-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-18-AU,F,knowledge,AU,How are whales adapted for their life in cold waters?,They produce heat through rapid movement and have a layer of reflective scales,They utilise a bio-antifreeze in their blood to prevent ice crystal formation,They have fins for swimming and excrete a special anti-freezing substance,They have gills and a streamlined body,They have a temperature regulating system and a tremendous amount of subcutaneous fat serving an insulating function.,They have specialised lungs that warm incoming cold water,They migrate to warmer waters during colder seasons to maintain body temperature,They have fur and hibernate in winter,,,E,A-KNOW-36-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-36-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-19-UK,F,knowledge,UK,"In a certain species of flies, the male presents the female with a silken balloon before mating. Explain the evolutionary derivation of this behaviour.",The silken balloon is a territorial marker to ward off competing males.,"The presentation of a silken balloon to the female fly before mating is the result of the evolution of a behaviour pattern, which evolved as a way to distract the female and prevent the male from being eaten during mating.",The silken balloon is used to display the male's fitness by demonstrating his ability to gather resources.,The silken balloon contains pheromones to increase the female's receptivity to mating.,The silken balloon is a gift to the female.,The silken balloon is used by the male fly to trap the female.,The silken balloon is a way for the male fly to showcase his weaving skills.,The silken balloon acts as a decoy to confuse predators while the flies mate.,The silken balloon serves as a physical barrier to protect the male from predators during mating.,The silken balloon is a mechanism for the male to control the timing of mating by releasing the female when she is most fertile.,B,A-KNOW-37-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-37-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-19-AU,F,knowledge,AU,"In a certain species of flies, the male presents the female with a silken balloon before mating. Explain the evolutionary derivation of this behaviour.",The silken balloon is a territorial marker to ward off competing males.,"The presentation of a silken balloon to the female fly before mating is the result of the evolution of a behaviour pattern, which evolved as a way to distract the female and prevent the male from being eaten during mating.",The silken balloon is used to display the male's fitness by demonstrating his ability to gather resources.,The silken balloon contains pheromones to increase the female's receptivity to mating.,The silken balloon is a gift to the female.,The silken balloon is used by the male fly to trap the female.,The silken balloon is a way for the male fly to showcase his weaving skills.,The silken balloon acts as a decoy to confuse predators while the flies mate.,The silken balloon serves as a physical barrier to protect the male from predators during mating.,The silken balloon is a mechanism for the male to control the timing of mating by releasing the female when she is most fertile.,B,A-KNOW-37-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-37-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-20-UK,F,knowledge,UK,"A rooster with grey feathers and a hen with the same phenotype produce 17 grey, 7 black, and 8 white chicks. What is the simplest explanation for the inheritance of these colours in chickens?",The trait for grey is epistatic over the trait for black.,The traits for grey and white colour demonstrate incomplete dominance.,The trait for black is epistatic over the trait for white.,The traits for black and white colour demonstrate codominance.,The trait for white is epistatic over the trait for grey.,The traits for black and white colour demonstrate incomplete dominance.,"The traits for black, grey and white colours demonstrate complete dominance.",The traits for grey and black colour demonstrate codominance.,The trait for grey is epistatic over the trait for white.,The trait for black is epistatic over the trait for grey.,F,A-KNOW-38-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-38-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-20-AU,F,knowledge,AU,"A rooster with gray feathers and a hen with the same phenotype produce 17 gray, 7 black, and 8 white chicks. What is the simplest explanation for the inheritance of these colours in chickens?",The trait for gray is epistatic over the trait for black.,The traits for gray and white colour demonstrate incomplete dominance.,The trait for black is epistatic over the trait for white.,The traits for black and white colour demonstrate codominance.,The trait for white is epistatic over the trait for gray.,The traits for black and white colour demonstrate incomplete dominance.,"The traits for black, gray and white colours demonstrate complete dominance.",The traits for gray and black colour demonstrate codominance.,The trait for gray is epistatic over the trait for white.,The trait for black is epistatic over the trait for gray.,F,A-KNOW-38-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-38-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-21-UK,F,knowledge,UK,"Apoptosis, which is programmed cell death, is a necessary process in living organisms. Which of the following is NOT correct about apoptosis?",It occurs randomly.,A particular cell dies when it is no longer needed by the organism.,A cell carries out apoptosis when too many mutations have accumulated.,Plant cells carry out apoptosis as a defence measure in cells that have been infected by parasites.,,,,,,,A,A-KNOW-39-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-39-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-21-AU,F,knowledge,AU,"Apoptosis, which is programmed cell death, is a necessary process in living organisms. Which of the following is NOT correct about apoptosis?",It occurs randomly.,A particular cell dies when it is no longer needed by the organism.,A cell carries out apoptosis when too many mutations have accumulated.,Plant cells carry out apoptosis as a defense measure in cells that have been infected by parasites.,,,,,,,A,A-KNOW-39-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-39-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-22-UK,F,knowledge,UK,"A 25.00-ml sample of sea water is titrated with 2.50 M AgN0_3 solution, using K_2CrO_4, as an indicator, until the presence of excess Ag^+ is shown by the reddish colour of Ag_2CrO_4 at the end point. The density of the sea water is 1.028 g/cc. Find the chlorinity and salinity of the sea water if 53.50 ml of AgNO_3 solution were used to complete the precipitation of silver halides.","Chlorinity 19 %, Salinity 34.52 %","Chlorinity 13 %, Salinity 23.52 %","Chlorinity 22 %, Salinity 40.52 %","Chlorinity 16 %, Salinity 29.52 %","Chlorinity 15 %, Salinity 27.52 %","Chlorinity 18 %, Salinity 32.52 %","Chlorinity 17 %, Salinity 30.52 %","Chlorinity 14 %, Salinity 25.52 %","Chlorinity 21 %, Salinity 38.52 %","Chlorinity 20 %, Salinity 35.52 %",F,A-KNOW-40-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-40-en) via documented US->UK conversion list,2026-09-19,MIT (underlying source)
F-KNOW-22-AU,F,knowledge,AU,"A 25.00-ml sample of sea water is titrated with 2.50 M AgN0_3 solution, using K_2CrO_4, as an indicator, until the presence of excess Ag^+ is shown by the reddish colour of Ag_2CrO_4 at the end point. The density of the sea water is 1.028 g/cc. Find the chlorinity and salinity of the sea water if 53.50 ml of AgNO_3 solution were used to complete the precipitation of silver halides.","Chlorinity 19 %, Salinity 34.52 %","Chlorinity 13 %, Salinity 23.52 %","Chlorinity 22 %, Salinity 40.52 %","Chlorinity 16 %, Salinity 29.52 %","Chlorinity 15 %, Salinity 27.52 %","Chlorinity 18 %, Salinity 32.52 %","Chlorinity 17 %, Salinity 30.52 %","Chlorinity 14 %, Salinity 25.52 %","Chlorinity 21 %, Salinity 38.52 %","Chlorinity 20 %, Salinity 35.52 %",F,A-KNOW-40-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-40-en) via documented US->AU conversion list,2026-09-19,MIT (underlying source)
F-KNOW-23-UK,F,knowledge,UK,A sample of a gas exhibiting ideal behaviour occupies a volume of 350 ml at 25.0°C and 600 torr. Determine its volume at 600°C and 25.0 torr.,600 l,873.15 ml,14.6 l,8.7315 l,350 ml,700 ml,2.46 l,1050 ml,1200 ml,24.6 l,J,A-KNOW-41-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-41-en) via documented US->UK conversion list,2026-09-19,MIT (underlying source)
F-KNOW-23-AU,F,knowledge,AU,A sample of a gas exhibiting ideal behaviour occupies a volume of 350 ml at 25.0°C and 600 torr. Determine its volume at 600°C and 25.0 torr.,600 l,873.15 ml,14.6 l,8.7315 l,350 ml,700 ml,2.46 l,1050 ml,1200 ml,24.6 l,J,A-KNOW-41-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-41-en) via documented US->AU conversion list,2026-09-19,MIT (underlying source)
F-KNOW-24-UK,F,knowledge,UK,"Water at 30°C has a vapour pressure of 31.82 mm Hg. When 25.0 g of ethylene glycol is added to 1000 g of water, the vapour pressure is lowered to 31.59 mm Hg. Determine the molecular weight of ethylene glycol.",62,70,74,58,56,60,72,68,64,66,A,A-KNOW-42-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-42-en) via documented US->UK conversion list,2026-09-19,MIT (underlying source)
F-KNOW-24-AU,F,knowledge,AU,"Water at 30°C has a vapour pressure of 31.82 mm Hg. When 25.0 g of ethylene glycol is added to 1000 g of water, the vapour pressure is lowered to 31.59 mm Hg. Determine the molecular weight of ethylene glycol.",62,70,74,58,56,60,72,68,64,66,A,A-KNOW-42-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-42-en) via documented US->AU conversion list,2026-09-19,MIT (underlying source)
F-KNOW-25-UK,F,knowledge,UK,"At 25°C, the vapour pressure of water is increased from 30 to 31 mm Hg against an external pressure of 10 atm. If the vapour pressure is to be maintained at 30 mm Hg for 1 litre (55.5 moles) of water at 25°C and 10 atm pressure, a) How much NaCl is to be added to the water? b) What is the osmotic pressure of this solution if NaCl forms an ideal solution with the water?","0.904 moles of NaCl, 10 atm","0.950 moles of NaCl, 12 atm","1.022 moles of NaCl, 8 atm","0.800 moles of NaCl, 16 atm","0.850 moles of NaCl, 13 atm","0.890 moles of NaCl, 15 atm","1.100 moles of NaCl, 11 atm","1.050 moles of NaCl, 7 atm","0.970 moles of NaCl, 14 atm","0.750 moles of NaCl, 9 atm",A,A-KNOW-43-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-43-en) via documented US->UK conversion list,2026-09-19,MIT (underlying source)
F-KNOW-25-AU,F,knowledge,AU,"At 25°C, the vapour pressure of water is increased from 30 to 31 mm Hg against an external pressure of 10 atm. If the vapour pressure is to be maintained at 30 mm Hg for 1 litre (55.5 moles) of water at 25°C and 10 atm pressure, a) How much NaCl is to be added to the water? b) What is the osmotic pressure of this solution if NaCl forms an ideal solution with the water?","0.904 moles of NaCl, 10 atm","0.950 moles of NaCl, 12 atm","1.022 moles of NaCl, 8 atm","0.800 moles of NaCl, 16 atm","0.850 moles of NaCl, 13 atm","0.890 moles of NaCl, 15 atm","1.100 moles of NaCl, 11 atm","1.050 moles of NaCl, 7 atm","0.970 moles of NaCl, 14 atm","0.750 moles of NaCl, 9 atm",A,A-KNOW-43-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-43-en) via documented US->AU conversion list,2026-09-19,MIT (underlying source)
F-KNOW-26-UK,F,knowledge,UK,"A sample of oxygen gas at 50 °C is heated, reaching a final temperature of 100 °C. Which statement best describes the behaviour of the gas molecules?",The number of molecules decreases by half.,Their velocity remains the same.,Their velocity decreases by a factor of two.,The number of molecules doubles.,Their kinetic energy remains the same.,Their velocity increases by a factor of two.,Their kinetic energy increases by a factor of less than 2.,Their kinetic energy decreases.,Their velocity increases by a factor of four.,Their kinetic energy increases by a factor of 2.,G,A-KNOW-44-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-44-en) via documented US->UK conversion list,2026-09-19,MIT (underlying source)
F-KNOW-26-AU,F,knowledge,AU,"A sample of oxygen gas at 50 °C is heated, reaching a final temperature of 100 °C. Which statement best describes the behaviour of the gas molecules?",The number of molecules decreases by half.,Their velocity remains the same.,Their velocity decreases by a factor of two.,The number of molecules doubles.,Their kinetic energy remains the same.,Their velocity increases by a factor of two.,Their kinetic energy increases by a factor of less than 2.,Their kinetic energy decreases.,Their velocity increases by a factor of four.,Their kinetic energy increases by a factor of 2.,G,A-KNOW-44-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-44-en) via documented US->AU conversion list,2026-09-19,MIT (underlying source)
F-KNOW-27-UK,F,knowledge,UK,"If the vapour pressure of CCl_4 (carbon tetrachloride) is .132 atm at 23°C and .526 atm at 58°C, what is the ∆H' in this temperature range?","37,000 (J / mole)","22,000 (J / mole)","26,500 (J / mole)","35,000 (J / mole)","40,000 (J / mole)","30,000 (J / mole)","20,000 (J / mole)","28,000 (J / mole)","32,000 (J / mole)","25,000 (J / mole)",I,A-KNOW-45-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-45-en) via documented US->UK conversion list,2026-09-19,MIT (underlying source)
F-KNOW-27-AU,F,knowledge,AU,"If the vapour pressure of CCl_4 (carbon tetrachloride) is .132 atm at 23°C and .526 atm at 58°C, what is the ∆H' in this temperature range?","37,000 (J / mole)","22,000 (J / mole)","26,500 (J / mole)","35,000 (J / mole)","40,000 (J / mole)","30,000 (J / mole)","20,000 (J / mole)","28,000 (J / mole)","32,000 (J / mole)","25,000 (J / mole)",I,A-KNOW-45-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-45-en) via documented US->AU conversion list,2026-09-19,MIT (underlying source)
F-KNOW-28-UK,F,knowledge,UK,"A turn of \alpha-helix (3.6 residues) is 5,41 \AA in length measured parallel to the helix axis. If your hair grows 6 in. per year, how many amino acid residues must be added to each \alpha-helix in the keratin fibre per second?",42 res/sec,36 res/sec,26 res/sec,28 res/sec,24 res/sec,38 res/sec,40 res/sec,30 res/sec,32 res/sec,34 res/sec,I,A-KNOW-46-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-46-en) via documented US->UK conversion list,2026-09-19,MIT (underlying source)
F-KNOW-28-AU,F,knowledge,AU,"A turn of \alpha-helix (3.6 residues) is 5,41 \AA in length measured parallel to the helix axis. If your hair grows 6 in. per year, how many amino acid residues must be added to each \alpha-helix in the keratin fibre per second?",42 res/sec,36 res/sec,26 res/sec,28 res/sec,24 res/sec,38 res/sec,40 res/sec,30 res/sec,32 res/sec,34 res/sec,I,A-KNOW-46-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-46-en) via documented US->AU conversion list,2026-09-19,MIT (underlying source)
F-KNOW-29-UK,F,knowledge,UK,"The dielectric constant of gaseous SO_2 is 1.00993 at 273 K and 1.00569 at 373 K, at P = 1 atm. Calculate the dipole moment of SO_2. Assume ideal gas behaviour.",1.88 D,1.63 D,1.30 D,1.45 D,0.97 D,1.75 D,1.92 D,2.15 D,2.05 D,1.20 D,B,A-KNOW-47-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-47-en) via documented US->UK conversion list,2026-09-19,MIT (underlying source)
F-KNOW-29-AU,F,knowledge,AU,"The dielectric constant of gaseous SO_2 is 1.00993 at 273 K and 1.00569 at 373 K, at P = 1 atm. Calculate the dipole moment of SO_2. Assume ideal gas behaviour.",1.88 D,1.63 D,1.30 D,1.45 D,0.97 D,1.75 D,1.92 D,2.15 D,2.05 D,1.20 D,B,A-KNOW-47-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-47-en) via documented US->AU conversion list,2026-09-19,MIT (underlying source)
F-KNOW-30-UK,F,knowledge,UK,"Khudseneffusion technique was used to determine the vapour pressure of scandium and the following data were obtained: temperature, 1555.4°K; time, 110.5 min; weight loss and diameter of orifice were 9.57 mg and 0.2965 cm, respectively. Use the above data to estimate the vapour pressure of scandium at 1555.4°K and 1 atm.",4.77 × 10^-6 atm,5.77 × 10^-6 atm,3.77 × 10^-5 atm,3.77 × 10^-6 atm,2.77 × 10^-4 atm,1.77 × 10^-6 atm,2.77 × 10^-5 atm,2.77 × 10^-6 atm,1.77 × 10^-5 atm,6.77 × 10^-6 atm,H,A-KNOW-48-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-48-en) via documented US->UK conversion list,2026-09-19,MIT (underlying source)
F-KNOW-30-AU,F,knowledge,AU,"Khudseneffusion technique was used to determine the vapour pressure of scandium and the following data were obtained: temperature, 1555.4°K; time, 110.5 min; weight loss and diameter of orifice were 9.57 mg and 0.2965 cm, respectively. Use the above data to estimate the vapour pressure of scandium at 1555.4°K and 1 atm.",4.77 × 10^-6 atm,5.77 × 10^-6 atm,3.77 × 10^-5 atm,3.77 × 10^-6 atm,2.77 × 10^-4 atm,1.77 × 10^-6 atm,2.77 × 10^-5 atm,2.77 × 10^-6 atm,1.77 × 10^-5 atm,6.77 × 10^-6 atm,H,A-KNOW-48-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-48-en) via documented US->AU conversion list,2026-09-19,MIT (underlying source)
F-KNOW-31-UK,F,knowledge,UK,"Glacial acetic acid has a melting point of 16°C at a pressure of 1 atm. a) Calculate the melting point at its vapour pressure of 0atm, given that the acid has a heat of fusion of 2700 cal/mole and a molecular weight of 60. Solid and liquid acetic acid have densities of 1.10 g/cc and 1.05 g/cc respectively, b) Calculate the heat of sublimation of solid acetic acid given that the acid has a normal boiling point of 118°C.","14.8°C, 11200 cal/mole","15.8°C, 10700 cal/mole","15.2°C, 12000 cal/mole","16.5C, 9500 cal/mole","14.5°C, 9700 cal/mole","17.0°C, 9300 cal/mole","15.5C, 11500 cal/mole","16.2°C, 10200 cal/mole","15.0C, 10500 cal/mole","15.993C, 10900 cal/mole",J,A-KNOW-49-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-49-en) via documented US->UK conversion list,2026-09-19,MIT (underlying source)
F-KNOW-31-AU,F,knowledge,AU,"Glacial acetic acid has a melting point of 16°C at a pressure of 1 atm. a) Calculate the melting point at its vapour pressure of 0atm, given that the acid has a heat of fusion of 2700 cal/mole and a molecular weight of 60. Solid and liquid acetic acid have densities of 1.10 g/cc and 1.05 g/cc respectively, b) Calculate the heat of sublimation of solid acetic acid given that the acid has a normal boiling point of 118°C.","14.8°C, 11200 cal/mole","15.8°C, 10700 cal/mole","15.2°C, 12000 cal/mole","16.5C, 9500 cal/mole","14.5°C, 9700 cal/mole","17.0°C, 9300 cal/mole","15.5C, 11500 cal/mole","16.2°C, 10200 cal/mole","15.0C, 10500 cal/mole","15.993C, 10900 cal/mole",J,A-KNOW-49-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-49-en) via documented US->AU conversion list,2026-09-19,MIT (underlying source)
F-KNOW-32-UK,F,knowledge,UK,Your supervisor asks you to determine the enthalpy of a certain chemical reaction. Which would you do?,Use a gas chromatograph to measure the composition of the reaction.,"Measure the ΔS and the ΔG for the reaction, and calculate the ΔH from the enthalpy equation.",Use a nuclear magnetic resonance (NMR) spectroscopy to analyse the molecular structure.,Use a scanning tunneling microscope to measure the reaction.,Use a solution calorimeter such as a coffee-cup calorimeter to measure the heat.,"Use a mass spectrometer to measure the masses of all atoms in the compounds, and use Hess's law to add them.",Use a flame test to measure the heat of the reaction.,"Use a photoelectron spectrometer to measure the energies of all atoms in the compounds, and use Hess's law to add them.",,,E,A-KNOW-50-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-50-en) via documented US->UK conversion list,2026-09-19,MIT (underlying source)
F-KNOW-32-AU,F,knowledge,AU,Your supervisor asks you to determine the enthalpy of a certain chemical reaction. Which would you do?,Use a gas chromatograph to measure the composition of the reaction.,"Measure the ΔS and the ΔG for the reaction, and calculate the ΔH from the enthalpy equation.",Use a nuclear magnetic resonance (NMR) spectroscopy to analyse the molecular structure.,Use a scanning tunneling microscope to measure the reaction.,Use a solution calorimeter such as a coffee-cup calorimeter to measure the heat.,"Use a mass spectrometer to measure the masses of all atoms in the compounds, and use Hess's law to add them.",Use a flame test to measure the heat of the reaction.,"Use a photoelectron spectrometer to measure the energies of all atoms in the compounds, and use Hess's law to add them.",,,E,A-KNOW-50-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-50-en) via documented US->AU conversion list,2026-09-19,MIT (underlying source)
F-KNOW-33-UK,F,knowledge,UK,"A silicious rock contains the mineral ZnS. To analyse for Zn, a sample of the rock is pulverized and treated with HCl to dissolve the ZnS (silicious matter is insoluable). Zinc is precipitated from solution by the addition of potassium ferrocyanide K_4 Fe (CN)_6. After filtering, the precipitate is dried and weighed. The reactions which occur are ZnS + 2HCl \rightarrow ZnCl_2 + H_2 S 2ZnCl_2 + K_4 Fe (CN)_6 \rightarrow Zn_2 Fe (CN)_6 + 4 KCl If a 2 gram sample of rock yields 0.969 gram of Zn_2Fe(CN)_6, what is the percentage of Zn in the sample? Atomic weight Zn = 65.4, molecular weight Zn_2 Fe (CN)_6 = 342.6.",10 % Zn,22 % Zn,20 % Zn,19 % Zn,15 % Zn,18 % Zn,16 % Zn,14 % Zn,12 % Zn,25 % Zn,F,A-KNOW-51-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-51-en) via documented US->UK conversion list,2026-09-19,MIT (underlying source)
F-KNOW-33-AU,F,knowledge,AU,"A silicious rock contains the mineral ZnS. To analyse for Zn, a sample of the rock is pulverized and treated with HCl to dissolve the ZnS (silicious matter is insoluable). Zinc is precipitated from solution by the addition of potassium ferrocyanide K_4 Fe (CN)_6. After filtering, the precipitate is dried and weighed. The reactions which occur are ZnS + 2HCl \rightarrow ZnCl_2 + H_2 S 2ZnCl_2 + K_4 Fe (CN)_6 \rightarrow Zn_2 Fe (CN)_6 + 4 KCl If a 2 gram sample of rock yields 0.969 gram of Zn_2Fe(CN)_6, what is the percentage of Zn in the sample? Atomic weight Zn = 65.4, molecular weight Zn_2 Fe (CN)_6 = 342.6.",10 % Zn,22 % Zn,20 % Zn,19 % Zn,15 % Zn,18 % Zn,16 % Zn,14 % Zn,12 % Zn,25 % Zn,F,A-KNOW-51-en,"Study Protocol Appendix A.2, protocol v0.30 (corpus-v0.5 expansion, 2026-09-19)",Derived from li-lab/MMLU-ProX item (A-KNOW-51-en) via documented US->AU conversion list,2026-09-19,MIT (underlying source)
