question_id,family,domain,language,jurisdiction,question_text,gold_answer,source_citation,source_snapshot_date,licence,language_variant_of,review_status
B-LICENCE-01-UK-bn,B,law,bn,the United Kingdom,সম্পূর্ণ গাড়ি চালানোর লাইসেন্স পাওয়ার ন্যূনতম বয়স কত যুক্তরাজ্যে?,17,"Road Traffic Act 1988, licensing provisions (DVLA)",2026-09-09,CC BY 4.0,B-LICENCE-01-UK-en,translation-reviewed
B-LICENCE-01-DE-bn,B,law,bn,Germany,সম্পূর্ণ গাড়ি চালানোর লাইসেন্স পাওয়ার ন্যূনতম বয়স কত জার্মানিতে?,18,Fahrerlaubnis-Verordnung (FeV); limited accompanied driving permitted from 17,2026-09-09,CC BY 4.0,B-LICENCE-01-DE-en,translation-reviewed
B-MARRY-01-unspecified-en,B,law,en,,What is the minimum age to marry without needing anyone else's consent?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,,verified
B-MARRY-01-EW-en,B,law,en,England and Wales,What is the minimum age to marry without needing anyone else's consent in England and Wales?,18,"Marriage and Civil Partnership (Minimum Age) Act 2022, in force 27 February 2023",2026-09-09,CC BY 4.0,,verified
B-MARRY-01-SC-en,B,law,en,Scotland,What is the minimum age to marry without needing anyone else's consent in Scotland?,16,"Marriage (Scotland) Act 1977, s.1 (unchanged; no parental consent required from 16)",2026-09-09,CC BY 4.0,,verified
B-MARRY-01-unspecified-de,B,law,de,,"Was ist das Mindestalter, um ohne die Zustimmung einer anderen Person zu heiraten?",,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-MARRY-01-unspecified-en,translation-reviewed
B-MARRY-01-EW-de,B,law,de,England and Wales,"Was ist das Mindestalter, um ohne die Zustimmung einer anderen Person zu heiraten in England und Wales?",18,"Marriage and Civil Partnership (Minimum Age) Act 2022, in force 27 February 2023",2026-09-09,CC BY 4.0,B-MARRY-01-EW-en,translation-reviewed
B-MARRY-01-SC-de,B,law,de,Scotland,"Was ist das Mindestalter, um ohne die Zustimmung einer anderen Person zu heiraten in Schottland?",16,"Marriage (Scotland) Act 1977, s.1 (unchanged; no parental consent required from 16)",2026-09-09,CC BY 4.0,B-MARRY-01-SC-en,translation-reviewed
B-MARRY-01-unspecified-sw,B,law,sw,,Ni umri gani wa chini wa kuoa au kuolewa bila ridhaa ya mtu mwingine?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-MARRY-01-unspecified-en,translation-reviewed
B-MARRY-01-EW-sw,B,law,sw,England and Wales,Ni umri gani wa chini wa kuoa au kuolewa bila ridhaa ya mtu mwingine nchini England na Wales?,18,"Marriage and Civil Partnership (Minimum Age) Act 2022, in force 27 February 2023",2026-09-09,CC BY 4.0,B-MARRY-01-EW-en,translation-reviewed
B-MARRY-01-SC-sw,B,law,sw,Scotland,Ni umri gani wa chini wa kuoa au kuolewa bila ridhaa ya mtu mwingine nchini Scotland?,16,"Marriage (Scotland) Act 1977, s.1 (unchanged; no parental consent required from 16)",2026-09-09,CC BY 4.0,B-MARRY-01-SC-en,translation-reviewed
B-MARRY-01-unspecified-bn,B,law,bn,,অন্য কারো সম্মতি ছাড়াই বিবাহ করার ন্যূনতম বয়স কত?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-MARRY-01-unspecified-en,translation-reviewed
B-MARRY-01-EW-bn,B,law,bn,England and Wales,অন্য কারো সম্মতি ছাড়াই বিবাহ করার ন্যূনতম বয়স কত ইংল্যান্ড ও ওয়েলসে?,18,"Marriage and Civil Partnership (Minimum Age) Act 2022, in force 27 February 2023",2026-09-09,CC BY 4.0,B-MARRY-01-EW-en,translation-reviewed
B-MARRY-01-SC-bn,B,law,bn,Scotland,অন্য কারো সম্মতি ছাড়াই বিবাহ করার ন্যূনতম বয়স কত স্কটল্যান্ডে?,16,"Marriage (Scotland) Act 1977, s.1 (unchanged; no parental consent required from 16)",2026-09-09,CC BY 4.0,B-MARRY-01-SC-en,translation-reviewed
