question_id,family,domain,variety,question_text,option_0,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,gold_answer,language_variant_of,conversion_list_version,source_citation,source_snapshot_date,licence
F-KNOW-16-UK,F,knowledge,UK,What prevents the stomach from being digested by its own secretions?,The stomach has a high permeability to hydrogen ions,The presence of beneficial bacteria that neutralise stomach acid,The stomach lining is replaced every month,The stomach lining secretes digestive enzymes only when food is present,The production of bile in the stomach neutralises the digestive acids,A thick layer of muscle tissue that is resistant to digestive enzymes and acids,The stomach is protected by a layer of fat,"The mucus layer, the permeability of the membranes and the continual replacement of the cells comprising the lining all help protect the stomach from being digested by its own secretions.",The stomach secretes a special hormone that prevents digestion of its own tissues,The stomach contents are too acidic for the enzymes to function properly,H,A-KNOW-34-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-34-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-16-AU,F,knowledge,AU,What prevents the stomach from being digested by its own secretions?,The stomach has a high permeability to hydrogen ions,The presence of beneficial bacteria that neutralise stomach acid,The stomach lining is replaced every month,The stomach lining secretes digestive enzymes only when food is present,The production of bile in the stomach neutralises the digestive acids,A thick layer of muscle tissue that is resistant to digestive enzymes and acids,The stomach is protected by a layer of fat,"The mucus layer, the permeability of the membranes and the continual replacement of the cells comprising the lining all help protect the stomach from being digested by its own secretions.",The stomach secretes a special hormone that prevents digestion of its own tissues,The stomach contents are too acidic for the enzymes to function properly,H,A-KNOW-34-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-34-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-17-UK,F,knowledge,UK,"Using conditioning, how can one determine the sensitivity of a dog's hearing to sounds of different frequencies?",By checking the dog's ear structure,By observing the dog's natural behaviour,By using operant conditioning and observing the dog's response to different sound frequencies,By training the dog to bark at certain frequencies,By analyzing the dog's brain waves while exposed to different frequencies,By using a series of whistles with varying frequencies and observing the point of inaudibility,By measuring the dog's heart rate response to different sound frequencies,By using classical conditioning and pairing sounds with a visual stimulus,By using a hearing test device,,C,A-KNOW-35-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-35-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-17-AU,F,knowledge,AU,"Using conditioning, how can one determine the sensitivity of a dog's hearing to sounds of different frequencies?",By checking the dog's ear structure,By observing the dog's natural behaviour,By using operant conditioning and observing the dog's response to different sound frequencies,By training the dog to bark at certain frequencies,By analyzing the dog's brain waves while exposed to different frequencies,By using a series of whistles with varying frequencies and observing the point of inaudibility,By measuring the dog's heart rate response to different sound frequencies,By using classical conditioning and pairing sounds with a visual stimulus,By using a hearing test device,,C,A-KNOW-35-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-35-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-18-UK,F,knowledge,UK,How are whales adapted for their life in cold waters?,They produce heat through rapid movement and have a layer of reflective scales,They utilise a bio-antifreeze in their blood to prevent ice crystal formation,They have fins for swimming and excrete a special anti-freezing substance,They have gills and a streamlined body,They have a temperature regulating system and a tremendous amount of subcutaneous fat serving an insulating function.,They have specialised lungs that warm incoming cold water,They migrate to warmer waters during colder seasons to maintain body temperature,They have fur and hibernate in winter,,,E,A-KNOW-36-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-36-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-18-AU,F,knowledge,AU,How are whales adapted for their life in cold waters?,They produce heat through rapid movement and have a layer of reflective scales,They utilise a bio-antifreeze in their blood to prevent ice crystal formation,They have fins for swimming and excrete a special anti-freezing substance,They have gills and a streamlined body,They have a temperature regulating system and a tremendous amount of subcutaneous fat serving an insulating function.,They have specialised lungs that warm incoming cold water,They migrate to warmer waters during colder seasons to maintain body temperature,They have fur and hibernate in winter,,,E,A-KNOW-36-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-36-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-19-UK,F,knowledge,UK,"In a certain species of flies, the male presents the female with a silken balloon before mating. Explain the evolutionary derivation of this behaviour.",The silken balloon is a territorial marker to ward off competing males.,"The presentation of a silken balloon to the female fly before mating is the result of the evolution of a behaviour pattern, which evolved as a way to distract the female and prevent the male from being eaten during mating.",The silken balloon is used to display the male's fitness by demonstrating his ability to gather resources.,The silken balloon contains pheromones to increase the female's receptivity to mating.,The silken balloon is a gift to the female.,The silken balloon is used by the male fly to trap the female.,The silken balloon is a way for the male fly to showcase his weaving skills.,The silken balloon acts as a decoy to confuse predators while the flies mate.,The silken balloon serves as a physical barrier to protect the male from predators during mating.,The silken balloon is a mechanism for the male to control the timing of mating by releasing the female when she is most fertile.,B,A-KNOW-37-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-37-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-19-AU,F,knowledge,AU,"In a certain species of flies, the male presents the female with a silken balloon before mating. Explain the evolutionary derivation of this behaviour.",The silken balloon is a territorial marker to ward off competing males.,"The presentation of a silken balloon to the female fly before mating is the result of the evolution of a behaviour pattern, which evolved as a way to distract the female and prevent the male from being eaten during mating.",The silken balloon is used to display the male's fitness by demonstrating his ability to gather resources.,The silken balloon contains pheromones to increase the female's receptivity to mating.,The silken balloon is a gift to the female.,The silken balloon is used by the male fly to trap the female.,The silken balloon is a way for the male fly to showcase his weaving skills.,The silken balloon acts as a decoy to confuse predators while the flies mate.,The silken balloon serves as a physical barrier to protect the male from predators during mating.,The silken balloon is a mechanism for the male to control the timing of mating by releasing the female when she is most fertile.,B,A-KNOW-37-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-37-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-20-UK,F,knowledge,UK,"A rooster with grey feathers and a hen with the same phenotype produce 17 grey, 7 black, and 8 white chicks. What is the simplest explanation for the inheritance of these colours in chickens?",The trait for grey is epistatic over the trait for black.,The traits for grey and white colour demonstrate incomplete dominance.,The trait for black is epistatic over the trait for white.,The traits for black and white colour demonstrate codominance.,The trait for white is epistatic over the trait for grey.,The traits for black and white colour demonstrate incomplete dominance.,"The traits for black, grey and white colours demonstrate complete dominance.",The traits for grey and black colour demonstrate codominance.,The trait for grey is epistatic over the trait for white.,The trait for black is epistatic over the trait for grey.,F,A-KNOW-38-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-38-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-20-AU,F,knowledge,AU,"A rooster with gray feathers and a hen with the same phenotype produce 17 gray, 7 black, and 8 white chicks. What is the simplest explanation for the inheritance of these colours in chickens?",The trait for gray is epistatic over the trait for black.,The traits for gray and white colour demonstrate incomplete dominance.,The trait for black is epistatic over the trait for white.,The traits for black and white colour demonstrate codominance.,The trait for white is epistatic over the trait for gray.,The traits for black and white colour demonstrate incomplete dominance.,"The traits for black, gray and white colours demonstrate complete dominance.",The traits for gray and black colour demonstrate codominance.,The trait for gray is epistatic over the trait for white.,The trait for black is epistatic over the trait for gray.,F,A-KNOW-38-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-38-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-21-UK,F,knowledge,UK,"Apoptosis, which is programmed cell death, is a necessary process in living organisms. Which of the following is NOT correct about apoptosis?",It occurs randomly.,A particular cell dies when it is no longer needed by the organism.,A cell carries out apoptosis when too many mutations have accumulated.,Plant cells carry out apoptosis as a defence measure in cells that have been infected by parasites.,,,,,,,A,A-KNOW-39-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-39-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-21-AU,F,knowledge,AU,"Apoptosis, which is programmed cell death, is a necessary process in living organisms. Which of the following is NOT correct about apoptosis?",It occurs randomly.,A particular cell dies when it is no longer needed by the organism.,A cell carries out apoptosis when too many mutations have accumulated.,Plant cells carry out apoptosis as a defense measure in cells that have been infected by parasites.,,,,,,,A,A-KNOW-39-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-39-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
